SKU,SKAU MARCA,PRODUCTO,CATEGORÍA,MARCA,FORMATO,OFERTA DEL MES,COSTO,PRECIO VTA BRUTO,PRECIO VTA NETO,MARGEN,PRECIO VTA BRUTO,PRECIO VTA NETO,MARGEN,PRECIO VTA BRUTO,PRECIO VTA NETO,MARGEN
PH00001,,CARISTOP 0.05% 250 ML,Prevención e Higiene,Maver,UNIDAD,,$2.649,$3.900,$3.277,19%,$3.868,$3.250,18%,$0,$0,
PH00002,,CEPILLO INTERDENTAL 0.8 PRIME START CURAPROX,Prevención e Higiene,Curaprox,UNIDAD,,$4.290,$6.400,$5.378,20%,$6.263,$5.263,18%,,$0,
PH00003,,CEPILLO INTERPROXIMAL 0.6 CURAPROX,Prevención e Higiene,Curaprox,UNIDAD,,$4.290,$6.400,$5.378,20%,$6.263,$5.263,18%,,$0,
PH00004,,CEPILLO INTERPROXIMAL 0.9 CURAPROX,Prevención e Higiene,Curaprox,UNIDAD,,$4.290,$6.400,$5.378,20%,$6.263,$5.263,18%,,$0,
PH00005,,CEPILLO INTERPROXIMAL 1.1 DENTAID,Prevención e Higiene,Dentaid,UNIDAD,,$3.769,$5.990,$5.034,25%,$5.503,$4.624,18%,,$0,
